time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
448178910720,14,7118.08,,0.0,69,0
448178910976,14,7118.08,,0.0,69,0
448178911232,14,7118.08,,0.0,69,0
448178911488,13,6586.88,,0.0,69,0
448178911744,13,6586.88,,0.0,69,0
448178912000,12,6586.88,,0.0,69,0
448178912256,12,6586.88,,0.0,68,0
448178912512,12,5099.5199999999995,,0.0,68,0
448178912768,12,5099.5199999999995,,0.0,68,0
448178913024,12,5099.5199999999995,,0.0,68,0
448178913280,13,5099.5199999999995,,0.0,68,0
448178913536,13,4395.679999999999,,0.0,68,0
448178913792,13,4395.679999999999,,0.0,68,0
448178914048,12,4395.679999999999,,0.0,70,0
448178914304,12,4395.679999999999,,0.0,70,0
448178914560,12,4395.679999999999,,0.0,71,0
448178914816,12,4395.679999999999,,0.0,71,0
448178915072,12,4156.639999999999,,0.0,71,0
448178915328,12,4156.639999999999,,0.0,72,0
448178915584,12,4156.639999999999,,0.0,72,0
448178915840,12,4156.639999999999,,0.0,72,0
448178916096,12,3957.4399999999996,,0.0,71,0
448178916352,12,3957.4399999999996,,0.0,72,0
448178916608,12,3957.4399999999996,,0.0,72,0
448178916864,13,3957.4399999999996,,0.0,72,0
448178917120,13,3957.4399999999996,,0.0,72,0
448178917376,12,3837.9199999999996,,0.0,72,0
448178917632,12,3837.9199999999996,,0.0,71,0
448178917888,12,3837.9199999999996,,0.0,70,0
448178918144,12,3837.9199999999996,,0.0,69,0
448178918400,12,3837.9199999999996,,0.0,68,0
448178918656,12,3837.9199999999996,,0.0,68,0
448178918912,12,3837.9199999999996,,0.015625,68,0
448178919168,12,3426.24,,0.0,67,0
448178919424,12,3426.24,,0.0,67,0
448178919680,11,3426.24,,0.0,67,0
448178919936,11,3479.3599999999997,,0.0,67,0
448178920192,12,3479.3599999999997,,0.0,67,0
448178920448,12,3479.3599999999997,,0.0,67,0
448178920704,13,3213.7599999999998,,0.0,67,0
448178920960,13,3213.7599999999998,,0.0,67,0
448178921216,13,3213.7599999999998,,0.0,67,0
448178921472,13,3824.64,,0.0,67,0
448178921728,13,3824.64,,0.0,67,0
448178921984,13,3824.64,,0.0,68,0
448178922240,14,4116.8,,0.0,68,0
448178922496,14,4116.8,,0.0,68,0
448178922752,15,4116.8,,0.0,69,0
448178923008,15,4847.2,,0.0,69,0
448178923264,15,4847.2,,0.0,69,0
448178923520,15,4847.2,,0.0,69,0
448178923776,16,4900.32,,0.0,69,0
448178924032,16,4900.32,,0.0,70,0
448178924288,17,4900.32,,0.0,70,0
448178924544,17,4900.32,,0.0,70,0
448178924800,17,6573.599999999999,,0.0,70,0
448178925056,18,6573.599999999999,,0.0,70,0
448178925312,19,6573.599999999999,,0.0,70,0
448178925568,19,6573.599999999999,,0.0,70,0
448178925824,19,6573.599999999999,,0.0,70,0
448178926080,19,6573.599999999999,,0.0,69,0
448178926336,19,6573.599999999999,,0.0,69,0
448178926592,19,6573.599999999999,,0.0,69,0
448178926848,19,6573.599999999999,,0.0,69,0
448178927104,19,6573.599999999999,,0.0,69,0
448178927360,18,5192.48,,0.0,69,0
448178927616,16,5192.48,,0.015625,69,0
448178927872,15,5192.48,,0.0,69,0
448178928128,14,5192.48,,0.0,68,0
448178928384,14,5046.4,,0.0,68,0
448178928640,14,5046.4,,0.0,68,0
448178928896,14,5046.4,,0.0,68,0
448178929152,14,5046.4,,0.0,68,0
448178929408,14,4169.92,,0.015625,67,0
448178929664,14,4169.92,,0.0,67,0
448178929920,13,4169.92,,0.0,67,0
448178930176,13,4169.92,,0.0,67,0
448178930432,13,4169.92,,0.0,67,0
448178930688,13,3426.24,,0.0,67,0
448178930944,13,3426.24,,0.0,66,0
448178931200,12,3426.24,,0.0,66,0
448178931456,12,3426.24,,0.0,66,0
448178931712,12,3426.24,,0.0,66,0
448178931968,12,3625.4399999999996,,0.0,66,0
448178932224,12,3625.4399999999996,,0.0,66,0
448178932480,12,3625.4399999999996,,0.0,66,0
448178932736,12,3625.4399999999996,,0.0,67,0
448178932992,12,3625.4399999999996,,0.0,67,0
448178933248,12,3731.68,,0.0,67,0
448178933504,12,3731.68,,0.0,67,0
448178933760,12,3731.68,,0.0,67,0
448178934016,11,3253.6,,0.0,67,0
448178934272,11,3253.6,,0.0,67,0
448178934528,11,3253.6,,0.0,67,0
448178934784,12,3253.6,,0.0,67,0
448178935040,12,3917.6,,0.0,67,0
448178935296,13,3917.6,,0.0,67,0
448178935552,14,3917.6,,0.0,67,0
448178935808,14,3917.6,,0.0,67,0
448178936064,14,3917.6,,0.0,67,0
448178936320,14,3917.6,,0.0,68,0
448178936576,14,3691.8399999999997,,0.0,68,0
448178936832,13,3691.8399999999997,,0.0,68,0
448178937088,13,3691.8399999999997,,0.0,68,0
448178937344,13,3691.8399999999997,,0.0,68,0
448178937600,13,3691.8399999999997,,0.0,68,0
448178937856,13,3691.8399999999997,,0.0,69,0
448178938112,13,3598.8799999999997,,0.0,69,0
448178938368,12,3598.8799999999997,,0.0,69,0
448178938624,12,3598.8799999999997,,0.0,70,0
448178938880,12,3598.8799999999997,,0.0,70,0
448178939136,12,3598.8799999999997,,0.0,70,0
448178939392,12,3718.3999999999996,,0.0,70,0
448178939648,12,3718.3999999999996,,0.0,69,0
448178939904,12,3718.3999999999996,,0.0,69,0
448178940160,13,3001.2799999999997,,0.0,69,0
448178940416,13,3001.2799999999997,,0.0,69,0
448178940672,13,3001.2799999999997,,0.0,69,0
448178940928,13,3001.2799999999997,,0.0,70,0
448178941184,13,3001.2799999999997,,0.0,70,0
448178941440,13,3187.2,,0.0,69,0
448178941696,13,3187.2,,0.0,69,0
448178941952,13,3187.2,,0.0,69,0
448178942208,13,3187.2,,0.0,68,0
448178942464,13,2895.04,,0.015625,68,0
448178942720,13,2895.04,,0.0,68,0
448178942976,13,2895.04,,0.0,68,0
448178943232,13,2895.04,,0.015625,68,0
448178943488,13,2855.2,,0.0,68,0
448178943744,13,2855.2,,0.0,68,0
448178944000,13,2855.2,,0.0,68,0
448178944256,12,2855.2,,0.0,68,0
448178944512,12,2855.2,,0.0,68,0
448178944768,12,2855.2,,0.0,67,0
448178945024,13,2855.2,,0.0,68,0
448178945280,13,2563.04,,0.0,68,0
448178945536,13,2563.04,,0.0,69,0
448178945792,13,2563.04,,0.0,69,0
448178946048,13,2934.8799999999997,,0.015625,69,0
448178946304,13,2934.8799999999997,,0.0,70,0
448178946560,13,2934.8799999999997,,0.0,70,0
448178946816,14,2934.8799999999997,,0.0,70,0
448178947072,14,2974.72,,0.0,70,0
448178947328,14,2974.72,,0.0,70,0
448178947584,14,2974.72,,0.0,69,0
448178947840,14,2974.72,,0.0,69,0
448178948096,14,2908.3199999999997,,0.0,69,0
448178948352,14,2908.3199999999997,,0.0,69,0
448178948608,14,2602.8799999999997,,0.0,68,0
448178948864,14,2602.8799999999997,,0.0,68,0
448178949120,15,2602.8799999999997,,0.0,68,0
448178949376,15,2815.3599999999997,,0.0,68,0
448178949632,15,2815.3599999999997,,0.0,68,0
448178949888,15,2815.3599999999997,,0.0,68,0
448178950144,15,3147.3599999999997,,0.0,68,0
448178950400,16,3147.3599999999997,,0.0,68,0
448178950656,16,3147.3599999999997,,0.0,69,0
448178950912,16,3147.3599999999997,,0.0,69,0
